TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,0.38,121,80,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,0.34,,,,
-3.194,0.28,,,Point Format,Y
-3.19,0.22,,,Horizontal Units,S
-3.187,0.18,,,Horizontal Scale,0.4
-3.184,0.12,,,Sample Interval,0.0032
-3.181,0.08,,,Filter Frequency,2.00E+08
-3.178,0.06,,,Record Length,2000
-3.174,-0.02,,,Gating,0.0% to 100.0%
-3.171,-0.04,,,Probe Attenuation,10
-3.168,-0.06,,,Vertical Units,V
-3.165,-0.12,,,Vertical Offset,0
-3.162,-0.14,,,Vertical Scale,0.5
-3.158,-0.18,,,Label,
-3.155,-0.18,,,,
-3.152,-0.22,,,,
-3.149,-0.22,,,,
-3.146,-0.22,,,,
-3.142,-0.24,,,,
-3.139,-0.28,,,,
-3.136,-0.28,,,,
-3.133,-0.26,,,,
-3.13,-0.26,,,,
-3.126,-0.3,,,,
-3.123,-0.28,,,,
-3.12,-0.3,,,,
-3.117,-0.3,,,,
-3.114,-0.3,,,,
-3.11,-0.32,,,,
-3.107,-0.34,,,,
-3.104,-0.34,,,,
-3.101,-0.32,,,,
-3.098,-0.34,,,,
-3.094,-0.34,,,,
-3.091,-0.36,,,,
-3.088,-0.36,,,,
-3.085,-0.34,,,,
-3.082,-0.34,,,,
-3.078,-0.32,,,,
-3.075,-0.34,,,,
-3.072,-0.34,,,,
-3.069,-0.32,,,,
-3.066,-0.28,,,,
-3.062,-0.3,,,,
-3.059,-0.28,,,,
-3.056,-0.3,,,,
-3.053,-0.26,,,,
-3.05,-0.22,,,,
-3.046,-0.22,,,,
-3.043,-0.22,,,,
-3.04,-0.2,,,,
-3.037,-0.18,,,,
-3.034,-0.18,,,,
-3.03,-0.14,,,,
-3.027,-0.12,,,,
-3.024,-0.12,,,,
-3.021,-0.12,,,,
-3.018,-0.08,,,,
-3.014,-0.08,,,,
-3.011,-0.08,,,,
-3.008,-0.08,,,,
-3.005,-0.08,,,,
-3.002,-0.04,,,,
-2.998,-0.02,,,,
-2.995,-0.02,,,,
-2.992,-0.04,,,,
-2.989,0,,,,
-2.986,-0.02,,,,
-2.982,0.02,,,,
-2.979,0.02,,,,
-2.976,0,,,,
-2.973,0.04,,,,
-2.97,0.04,,,,
-2.966,0.04,,,,
-2.963,0.04,,,,
-2.96,0.02,,,,
-2.957,0.02,,,,
-2.954,0.02,,,,
-2.95,0.02,,,,
-2.947,0.04,,,,
-2.944,0,,,,
-2.941,-0.02,,,,
-2.938,-0.02,,,,
-2.934,0,,,,
-2.931,0,,,,
-2.928,0,,,,
-2.925,-0.02,,,,
-2.922,-0.02,,,,
-2.918,0,,,,
-2.915,-0.02,,,,
-2.912,0.02,,,,
-2.909,0,,,,
