TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,-0.39200 ,96,60,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,-0.39200 ,,,,
-3.19400 ,-0.37600 ,,,Point Format,Y
-3.19000 ,-0.39200 ,,,Horizontal Units,S
-3.18700 ,-0.36800 ,,,Horizontal Scale,0.4
-3.18400 ,-0.35200 ,,,Sample Interval,0.0032
-3.18100 ,-0.33600 ,,,Filter Frequency,2.00E+08
-3.17800 ,-0.30400 ,,,Record Length,2000
-3.17400 ,-0.29600 ,,,Gating,0.0% to 100.0%
-3.17100 ,-0.26400 ,,,Probe Attenuation,10
-3.16800 ,-0.21600 ,,,Vertical Units,V
-3.16500 ,-0.19200 ,,,Vertical Offset,0
-3.16200 ,-0.14400 ,,,Vertical Scale,0.2
-3.15800 ,-0.10400 ,,,Label,
-3.15500 ,-0.05600 ,,,,
-3.15200 ,-0.00800 ,,,,
-3.14900 ,0.03200 ,,,,
-3.14600 ,0.06400 ,,,,
-3.14200 ,0.11200 ,,,,
-3.13900 ,0.16000 ,,,,
-3.13600 ,0.19200 ,,,,
-3.13300 ,0.24000 ,,,,
-3.13000 ,0.26400 ,,,,
-3.12600 ,0.30400 ,,,,
-3.12300 ,0.32000 ,,,,
-3.12000 ,0.35200 ,,,,
-3.11700 ,0.39200 ,,,,
-3.11400 ,0.40800 ,,,,
-3.11000 ,0.43200 ,,,,
-3.10700 ,0.44000 ,,,,
-3.10400 ,0.45600 ,,,,
-3.10100 ,0.47200 ,,,,
-3.09800 ,0.48800 ,,,,
-3.09400 ,0.50400 ,,,,
-3.09100 ,0.51200 ,,,,
-3.08800 ,0.51200 ,,,,
-3.08500 ,0.51200 ,,,,
-3.08200 ,0.52000 ,,,,
-3.07800 ,0.52800 ,,,,
-3.07500 ,0.50400 ,,,,
-3.07200 ,0.52800 ,,,,
-3.06900 ,0.50400 ,,,,
-3.06600 ,0.51200 ,,,,
-3.06200 ,0.50400 ,,,,
-3.05900 ,0.49600 ,,,,
-3.05600 ,0.48000 ,,,,
-3.05300 ,0.48000 ,,,,
-3.05000 ,0.47200 ,,,,
-3.04600 ,0.45600 ,,,,
-3.04300 ,0.44800 ,,,,
-3.04000 ,0.44000 ,,,,
-3.03700 ,0.42400 ,,,,
-3.03400 ,0.42400 ,,,,
-3.03000 ,0.40800 ,,,,
-3.02700 ,0.40000 ,,,,
-3.02400 ,0.39200 ,,,,
-3.02100 ,0.38400 ,,,,
-3.01800 ,0.37600 ,,,,
-3.01400 ,0.36800 ,,,,
-3.01100 ,0.36000 ,,,,
-3.00800 ,0.36000 ,,,,
-3.00500 ,0.34400 ,,,,
-3.00200 ,0.35200 ,,,,
-2.99800 ,0.32800 ,,,,
-2.99500 ,0.32800 ,,,,
-2.99200 ,0.31200 ,,,,
-2.98900 ,0.32000 ,,,,
-2.98600 ,0.31200 ,,,,
-2.98200 ,0.30400 ,,,,
-2.97900 ,0.29600 ,,,,
-2.97600 ,0.28800 ,,,,
-2.97300 ,0.28000 ,,,,
-2.97000 ,0.27200 ,,,,
-2.96600 ,0.25600 ,,,,
-2.96300 ,0.24800 ,,,,
-2.96000 ,0.24000 ,,,,
-2.95700 ,0.22400 ,,,,
-2.95400 ,0.20000 ,,,,
-2.95000 ,0.19200 ,,,,
-2.94700 ,0.17600 ,,,,
-2.94400 ,0.16000 ,,,,
-2.94100 ,0.13600 ,,,,
-2.93800 ,0.13600 ,,,,
-2.93400 ,0.12800 ,,,,
-2.93100 ,0.11200 ,,,,
-2.92800 ,0.11200 ,,,,
-2.92500 ,0.10400 ,,,,
-2.92200 ,0.09600 ,,,,
-2.91800 ,0.10400 ,,,,
-2.91500 ,0.09600 ,,,,
-2.91200 ,0.09600 ,,,,
-2.90900 ,0.08000 ,,,,
-2.90600 ,0.08000 ,,,,
-2.90200 ,0.08000 ,,,,
-2.89900 ,0.07200 ,,,,
-2.89600 ,0.08800 ,,,,
-2.89300 ,0.08800 ,,,,
-2.89000 ,0.08000 ,,,,
-2.88600 ,0.08800 ,,,,
-2.88300 ,0.08800 ,,,,
-2.88000 ,0.08000 ,,,,
-2.87700 ,0.09600 ,,,,
-2.87400 ,0.09600 ,,,,
-2.87000 ,0.08800 ,,,,
-2.86700 ,0.09600 ,,,,
-2.86400 ,0.09600 ,,,,
-2.86100 ,0.10400 ,,,,
-2.85800 ,0.10400 ,,,,
-2.85400 ,0.11200 ,,,,
-2.85100 ,0.11200 ,,,,
-2.84800 ,0.10400 ,,,,
-2.84500 ,0.11200 ,,,,
-2.84200 ,0.11200 ,,,,
-2.83800 ,0.12000 ,,,,
-2.83500 ,0.12800 ,,,,
-2.83200 ,0.12800 ,,,,
-2.82900 ,0.12000 ,,,,
-2.82600 ,0.10400 ,,,,
-2.82200 ,0.11200 ,,,,
-2.81900 ,0.10400 ,,,,
-2.81600 ,0.09600 ,,,,
-2.81300 ,0.08800 ,,,,
-2.81000 ,0.08800 ,,,,
-2.80600 ,0.08800 ,,,,
-2.80300 ,0.07200 ,,,,
-2.80000 ,0.06400 ,,,,
-2.79700 ,0.04800 ,,,,
-2.79400 ,0.04000 ,,,,
-2.79000 ,0.04000 ,,,,
-2.78700 ,0.02400 ,,,,
-2.78400 ,0.01600 ,,,,
-2.78100 ,0.00000 ,,,,
-2.77800 ,0.00000 ,,,,
-2.77400 ,-0.02400 ,,,,
-2.77100 ,-0.02400 ,,,,
-2.76800 ,-0.03200 ,,,,
-2.76500 ,-0.03200 ,,,,
-2.76200 ,-0.04800 ,,,,
-2.75800 ,-0.05600 ,,,,
-2.75500 ,-0.06400 ,,,,
