TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,-1.47,125,93,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,-1.35,,,,
-3.194,-1.21,,,Point Format,Y
-3.19,-1.07,,,Horizontal Units,S
-3.187,-0.87,,,Horizontal Scale,0.4
-3.184,-0.73,,,Sample Interval,0.0032
-3.181,-0.57,,,Filter Frequency,2.00E+08
-3.178,-0.39,,,Record Length,2000
-3.174,-0.25,,,Gating,0.0% to 100.0%
-3.171,-0.07,,,Probe Attenuation,10
-3.168,0.09,,,Vertical Units,V
-3.165,0.27,,,Vertical Offset,0
-3.162,0.43,,,Vertical Scale,0.5
-3.158,0.55,,,Label,
-3.155,0.63,,,,
-3.152,0.77,,,,
-3.149,0.85,,,,
-3.146,0.93,,,,
-3.142,1.03,,,,
-3.139,1.09,,,,
-3.136,1.13,,,,
-3.133,1.13,,,,
-3.13,1.23,,,,
-3.126,1.19,,,,
-3.123,1.23,,,,
-3.12,1.25,,,,
-3.117,1.25,,,,
-3.114,1.29,,,,
-3.11,1.29,,,,
-3.107,1.27,,,,
-3.104,1.27,,,,
-3.101,1.21,,,,
-3.098,1.21,,,,
-3.094,1.23,,,,
-3.091,1.21,,,,
-3.088,1.15,,,,
-3.085,1.15,,,,
-3.082,1.11,,,,
-3.078,1.11,,,,
-3.075,1.07,,,,
-3.072,1.07,,,,
-3.069,1.03,,,,
-3.066,0.97,,,,
-3.062,0.95,,,,
-3.059,0.95,,,,
-3.056,0.93,,,,
-3.053,0.89,,,,
-3.05,0.89,,,,
-3.046,0.85,,,,
-3.043,0.81,,,,
-3.04,0.81,,,,
-3.037,0.77,,,,
-3.034,0.81,,,,
-3.03,0.75,,,,
-3.027,0.73,,,,
-3.024,0.75,,,,
-3.021,0.73,,,,
-3.018,0.73,,,,
-3.014,0.71,,,,
-3.011,0.69,,,,
-3.008,0.71,,,,
-3.005,0.69,,,,
-3.002,0.71,,,,
-2.998,0.65,,,,
-2.995,0.69,,,,
-2.992,0.65,,,,
-2.989,0.65,,,,
-2.986,0.65,,,,
-2.982,0.67,,,,
-2.979,0.63,,,,
-2.976,0.65,,,,
-2.973,0.61,,,,
-2.97,0.57,,,,
-2.966,0.57,,,,
-2.963,0.59,,,,
-2.96,0.55,,,,
-2.957,0.55,,,,
-2.954,0.53,,,,
-2.95,0.53,,,,
-2.947,0.47,,,,
-2.944,0.49,,,,
-2.941,0.45,,,,
-2.938,0.43,,,,
-2.934,0.41,,,,
-2.931,0.37,,,,
-2.928,0.35,,,,
-2.925,0.33,,,,
-2.922,0.29,,,,
-2.918,0.33,,,,
-2.915,0.29,,,,
-2.912,0.25,,,,
-2.909,0.25,,,,
-2.906,0.27,,,,
-2.902,0.27,,,,
-2.899,0.27,,,,
-2.896,0.27,,,,
-2.893,0.29,,,,
-2.89,0.31,,,,
-2.886,0.29,,,,
-2.883,0.29,,,,
-2.88,0.31,,,,
-2.877,0.31,,,,
-2.874,0.35,,,,
-2.87,0.31,,,,
-2.867,0.37,,,,
-2.864,0.33,,,,
-2.861,0.35,,,,
-2.858,0.33,,,,
-2.854,0.33,,,,
-2.851,0.37,,,,
-2.848,0.35,,,,
-2.845,0.37,,,,
-2.842,0.31,,,,
-2.838,0.31,,,,
-2.835,0.27,,,,
-2.832,0.31,,,,
-2.829,0.27,,,,
-2.826,0.25,,,,
-2.822,0.23,,,,
-2.819,0.23,,,,
-2.816,0.21,,,,
-2.813,0.17,,,,
-2.81,0.19,,,,
-2.806,0.17,,,,
