TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,-1.42,95,58,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,-1.42,,,,
-3.194,-1.42,,,Point Format,Y
-3.19,-1.5,,,Horizontal Units,S
-3.187,-1.5,,,Horizontal Scale,0.4
-3.184,-1.54,,,Sample Interval,0.0032
-3.181,-1.54,,,Filter Frequency,2.00E+08
-3.178,-1.58,,,Record Length,2000
-3.174,-1.58,,,Gating,0.0% to 100.0%
-3.171,-1.62,,,Probe Attenuation,10
-3.168,-1.7,,,Vertical Units,V
-3.165,-1.66,,,Vertical Offset,0
-3.162,-1.7,,,Vertical Scale,1
-3.158,-1.74,,,Label,
-3.155,-1.74,,,,
-3.152,-1.78,,,,
-3.149,-1.82,,,,
-3.146,-1.82,,,,
-3.142,-1.82,,,,
-3.139,-1.86,,,,
-3.136,-1.9,,,,
-3.133,-1.9,,,,
-3.13,-1.94,,,,
-3.126,-1.94,,,,
-3.123,-1.98,,,,
-3.12,-1.98,,,,
-3.117,-1.98,,,,
-3.114,-2.06,,,,
-3.11,-2.06,,,,
-3.107,-2.02,,,,
-3.104,-2.06,,,,
-3.101,-2.06,,,,
-3.098,-2.1,,,,
-3.094,-2.1,,,,
-3.091,-2.1,,,,
-3.088,-2.1,,,,
-3.085,-2.14,,,,
-3.082,-2.18,,,,
-3.078,-2.22,,,,
-3.075,-2.22,,,,
-3.072,-2.26,,,,
-3.069,-2.26,,,,
-3.066,-2.3,,,,
-3.062,-2.3,,,,
-3.059,-2.34,,,,
-3.056,-2.38,,,,
-3.053,-2.34,,,,
-3.05,-2.38,,,,
-3.046,-2.38,,,,
-3.043,-2.42,,,,
-3.04,-2.42,,,,
-3.037,-2.42,,,,
-3.034,-2.46,,,,
-3.03,-2.38,,,,
-3.027,-2.34,,,,
-3.024,-2.26,,,,
-3.021,-2.22,,,,
-3.018,-2.14,,,,
-3.014,-2.06,,,,
-3.011,-1.9,,,,
-3.008,-1.78,,,,
-3.005,-1.66,,,,
-3.002,-1.42,,,,
-2.998,-1.26,,,,
-2.995,-1.1,,,,
-2.992,-0.9,,,,
-2.989,-0.7,,,,
-2.986,-0.46,,,,
-2.982,-0.26,,,,
-2.979,-0.02,,,,
-2.976,0.14,,,,
-2.973,0.3,,,,
-2.97,0.46,,,,
-2.966,0.62,,,,
-2.963,0.74,,,,
-2.96,0.86,,,,
-2.957,0.94,,,,
-2.954,1.02,,,,
-2.95,1.06,,,,
-2.947,1.1,,,,
-2.944,1.14,,,,
-2.941,1.14,,,,
-2.938,1.14,,,,
-2.934,1.1,,,,
-2.931,1.1,,,,
-2.928,1.02,,,,
-2.925,1.02,,,,
-2.922,0.94,,,,
-2.918,0.94,,,,
-2.915,0.86,,,,
-2.912,0.82,,,,
-2.909,0.78,,,,
-2.906,0.66,,,,
-2.902,0.62,,,,
-2.899,0.54,,,,
-2.896,0.46,,,,
-2.893,0.42,,,,
-2.89,0.3,,,,
-2.886,0.26,,,,
-2.883,0.22,,,,
-2.88,0.18,,,,
-2.877,0.14,,,,
-2.874,0.02,,,,
-2.87,-0.02,,,,
-2.867,-0.1,,,,
-2.864,-0.18,,,,
-2.861,-0.22,,,,
-2.858,-0.3,,,,
-2.854,-0.34,,,,
-2.851,-0.42,,,,
-2.848,-0.5,,,,
-2.845,-0.5,,,,
-2.842,-0.58,,,,
-2.838,-0.58,,,,
-2.835,-0.66,,,,
-2.832,-0.7,,,,
-2.829,-0.7,,,,
-2.826,-0.7,,,,
-2.822,-0.78,,,,
-2.819,-0.82,,,,
-2.816,-0.82,,,,
-2.813,-0.86,,,,
-2.81,-0.86,,,,
-2.806,-0.86,,,,
-2.803,-0.9,,,,
-2.8,-0.94,,,,
-2.797,-0.9,,,,
-2.794,-0.9,,,,
-2.79,-0.94,,,,
-2.787,-1.02,,,,
-2.784,-1.02,,,,
-2.781,-1.02,,,,
-2.778,-1.06,,,,
-2.774,-1.06,,,,
-2.771,-1.06,,,,
-2.768,-1.14,,,,
-2.765,-1.14,,,,
-2.762,-1.14,,,,
-2.758,-1.18,,,,
-2.755,-1.22,,,,
-2.752,-1.26,,,,
-2.749,-1.22,,,,
-2.746,-1.26,,,,
-2.742,-1.34,,,,
-2.739,-1.3,,,,
-2.736,-1.38,,,,
-2.733,-1.34,,,,
-2.73,-1.38,,,,
-2.726,-1.38,,,,
-2.723,-1.38,,,,
-2.72,-1.38,,,,
-2.717,-1.38,,,,
-2.714,-1.34,,,,
-2.71,-1.34,,,,
-2.707,-1.34,,,,
-2.704,-1.34,,,,
-2.701,-1.3,,,,
-2.698,-1.26,,,,
-2.694,-1.26,,,,
-2.691,-1.22,,,,
-2.688,-1.18,,,,
-2.685,-1.18,,,,
-2.682,-1.22,,,,
-2.678,-1.18,,,,
-2.675,-1.14,,,,
-2.672,-1.1,,,,
-2.669,-1.1,,,,
-2.666,-1.06,,,,
-2.662,-1.02,,,,
-2.659,-1.02,,,,
-2.656,-0.98,,,,
-2.653,-0.94,,,,
-2.65,-0.9,,,,
-2.646,-0.9,,,,
-2.643,-0.9,,,,
-2.64,-0.86,,,,
-2.637,-0.86,,,,
-2.634,-0.82,,,,
-2.63,-0.78,,,,
-2.627,-0.78,,,,
-2.624,-0.74,,,,
-2.621,-0.74,,,,
-2.618,-0.78,,,,
-2.614,-0.74,,,,
-2.611,-0.78,,,,
-2.608,-0.78,,,,
-2.605,-0.78,,,,
-2.602,-0.82,,,,
-2.598,-0.86,,,,
-2.595,-0.86,,,,
-2.592,-0.9,,,,
-2.589,-0.86,,,,
-2.586,-0.86,,,,
-2.582,-0.9,,,,
-2.579,-0.9,,,,
-2.576,-0.98,,,,
-2.573,-0.94,,,,
-2.57,-0.98,,,,
-2.566,-0.98,,,,
-2.563,-1.02,,,,
-2.56,-1.06,,,,
-2.557,-1.1,,,,
-2.554,-1.14,,,,
-2.55,-1.18,,,,
-2.547,-1.22,,,,
-2.544,-1.22,,,,
-2.541,-1.26,,,,
-2.538,-1.3,,,,
-2.534,-1.34,,,,
-2.531,-1.38,,,,
-2.528,-1.38,,,,
-2.525,-1.42,,,,
-2.522,-1.5,,,,
-2.518,-1.5,,,,
-2.515,-1.5,,,,
-2.512,-1.54,,,,
-2.509,-1.62,,,,
-2.506,-1.58,,,,
-2.502,-1.62,,,,
-2.499,-1.62,,,,
-2.496,-1.66,,,,
-2.493,-1.66,,,,
-2.49,-1.7,,,,
-2.486,-1.7,,,,
-2.483,-1.74,,,,
-2.48,-1.74,,,,
-2.477,-1.74,,,,
-2.474,-1.74,,,,
-2.47,-1.78,,,,
-2.467,-1.78,,,,
-2.464,-1.78,,,,
-2.461,-1.82,,,,
-2.458,-1.78,,,,
-2.454,-1.82,,,,
-2.451,-1.78,,,,
-2.448,-1.78,,,,
-2.445,-1.82,,,,
-2.442,-1.78,,,,
-2.438,-1.78,,,,
-2.435,-1.78,,,,
-2.432,-1.78,,,,
-2.429,-1.78,,,,
-2.426,-1.78,,,,
-2.422,-1.74,,,,
-2.419,-1.74,,,,
-2.416,-1.74,,,,
-2.413,-1.78,,,,
-2.41,-1.78,,,,
-2.406,-1.78,,,,
-2.403,-1.74,,,,
-2.4,-1.78,,,,
-2.397,-1.82,,,,
-2.394,-1.78,,,,
-2.39,-1.78,,,,
-2.387,-1.82,,,,
-2.384,-1.78,,,,
-2.381,-1.82,,,,
-2.378,-1.82,,,,
-2.374,-1.82,,,,
-2.371,-1.86,,,,
-2.368,-1.82,,,,
-2.365,-1.86,,,,
-2.362,-1.86,,,,
