TIME,CH1,SBP,DBP,Model,TBS1102C,,,,
-3.2000 ,0.1100 ,87,51,Firmware Version,v2015-08-04-prequal4ch70_v1.3,,,,-1
-3.1970 ,0.1300 ,,,,,,,,
-3.1940 ,0.1300 ,,,Point Format,Y,,,,
-3.1900 ,0.1300 ,,,Horizontal Units,S,,,,
-3.1870 ,0.1500 ,,,Horizontal Scale,0.4,,,,
-3.1840 ,0.1500 ,,,Sample Interval,0.0032,,,,
-3.1810 ,0.1700 ,,,Filter Frequency,2.00E+08,,,,
-3.1780 ,0.1700 ,,,Record Length,2000,,,,
-3.1740 ,0.1500 ,,,Gating,0.0% to 100.0%,,,,
-3.1710 ,0.1700 ,,,Probe Attenuation,10,,,,
-3.1680 ,0.1500 ,,,Vertical Units,V,,,,
-3.1650 ,0.1700 ,,,Vertical Offset,0,,,,
-3.1620 ,0.1700 ,,,Vertical Scale,0.5,,,,
-3.1580 ,0.1500 ,,,Label,,,,,
-3.1550 ,0.1500 ,,,,,,,,
-3.1520 ,0.1700 ,,,,,,,,
-3.1490 ,0.1500 ,,,,,,,,
-3.1460 ,0.1300 ,,,,,,,,
-3.1420 ,0.1500 ,,,,,,,,
-3.1390 ,0.1300 ,,,,,,,,
-3.1360 ,0.1100 ,,,,,,,,
-3.1330 ,0.1300 ,,,,,,,,
-3.1300 ,0.1300 ,,,,,,,,
-3.1260 ,0.0900 ,,,,,,,,
-3.1230 ,0.0900 ,,,,,,,,
-3.1200 ,0.0700 ,,,,,,,,
-3.1170 ,0.0700 ,,,,,,,,
-3.1140 ,0.0500 ,,,,,,,,
-3.1100 ,0.0500 ,,,,,,,,
-3.1070 ,0.0300 ,,,,,,,,
-3.1040 ,0.0300 ,,,,,,,,
-3.1010 ,0.0100 ,,,,,,,,
-3.0980 ,0.0100 ,,,,,,,,
-3.0940 ,0.0100 ,,,,,,,,
-3.0910 ,-0.0100 ,,,,,,,,
-3.0880 ,-0.0100 ,,,,,,,,
-3.0850 ,-0.0300 ,,,,,,,,
-3.0820 ,-0.0500 ,,,,,,,,
-3.0780 ,-0.0500 ,,,,,,,,
