TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,0.24,118,79,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,0.08,,,,
-3.19400 ,0.08,,,Point Format,Y
-3.19000 ,0.16,,,Horizontal Units,S
-3.18700 ,0.24,,,Horizontal Scale,0.4
-3.18400 ,0.12,,,Sample Interval,0.0032
-3.18100 ,-0.04,,,Filter Frequency,2.00E+08
-3.17800 ,-0.08,,,Record Length,2000
-3.17400 ,0,,,Gating,0.0% to 100.0%
-3.17100 ,0.12,,,Probe Attenuation,10
-3.16800 ,0.04,,,Vertical Units,V
-3.16500 ,-0.12,,,Vertical Offset,0
-3.16200 ,-0.24,,,Vertical Scale,1
-3.15800 ,-0.16,,,Label,
-3.15500 ,0,,,,
-3.15200 ,-0.08,,,,
-3.14900 ,-0.24,,,,
-3.14600 ,-0.32,,,,
-3.14200 ,-0.28,,,,
-3.13900 ,-0.2,,,,
-3.13600 ,-0.16,,,,
-3.13300 ,-0.32,,,,
-3.13000 ,-0.44,,,,
-3.12600 ,-0.44,,,,
-3.12300 ,-0.28,,,,
-3.12000 ,-0.24,,,,
-3.11700 ,-0.36,,,,
-3.11400 ,-0.52,,,,
-3.11000 ,-0.56,,,,
-3.10700 ,-0.44,,,,
-3.10400 ,-0.32,,,,
-3.10100 ,-0.36,,,,
-3.09800 ,-0.52,,,,
-3.09400 ,-0.64,,,,
-3.09100 ,-0.56,,,,
-3.08800 ,-0.4,,,,
-3.08500 ,-0.4,,,,
-3.08200 ,-0.56,,,,
-3.07800 ,-0.68,,,,
-3.07500 ,-0.64,,,,
-3.07200 ,-0.48,,,,
-3.06900 ,-0.48,,,,
-3.06600 ,-0.56,,,,
-3.06200 ,-0.68,,,,
-3.05900 ,-0.68,,,,
-3.05600 ,-0.56,,,,
-3.05300 ,-0.52,,,,
-3.05000 ,-0.56,,,,
-3.04600 ,-0.68,,,,
-3.04300 ,-0.72,,,,
-3.04000 ,-0.64,,,,
-3.03700 ,-0.56,,,,
-3.03400 ,-0.6,,,,
-3.03000 ,-0.72,,,,
-3.02700 ,-0.76,,,,
-3.02400 ,-0.72,,,,
-3.02100 ,-0.64,,,,
-3.01800 ,-0.68,,,,
-3.01400 ,-0.76,,,,
-3.01100 ,-0.8,,,,
-3.00800 ,-0.8,,,,
-3.00500 ,-0.76,,,,
-3.00200 ,-0.72,,,,
-2.99800 ,-0.84,,,,
-2.99500 ,-0.88,,,,
-2.99200 ,-0.88,,,,
-2.98900 ,-0.84,,,,
-2.98600 ,-0.84,,,,
-2.98200 ,-0.88,,,,
-2.97900 ,-0.96,,,,
-2.97600 ,-0.96,,,,
-2.97300 ,-0.96,,,,
-2.97000 ,-0.92,,,,
-2.96600 ,-0.92,,,,
-2.96300 ,-0.96,,,,
-2.96000 ,-1,,,,
-2.95700 ,-0.96,,,,
-2.95400 ,-0.92,,,,
-2.95000 ,-0.96,,,,
-2.94700 ,-1,,,,
-2.94400 ,-1,,,,
-2.94100 ,-1,,,,
-2.93800 ,-1,,,,
-2.93400 ,-0.96,,,,
-2.93100 ,-1,,,,
-2.92800 ,-1.04,,,,
-2.92500 ,-1,,,,
-2.92200 ,-1,,,,
-2.91800 ,-1,,,,
-2.91500 ,-1.08,,,,
-2.91200 ,-1.12,,,,
-2.90900 ,-1.12,,,,
-2.90600 ,-1.08,,,,
-2.90200 ,-1.08,,,,
-2.89900 ,-1.12,,,,
-2.89600 ,-1.16,,,,
-2.89300 ,-1.16,,,,
-2.89000 ,-1.16,,,,
-2.88600 ,-1.16,,,,
-2.88300 ,-1.2,,,,
