TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,0.48000 ,117,73,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,0.44000 ,,,,
-3.19400 ,0.36000 ,,,Point Format,Y
-3.19000 ,0.32000 ,,,Horizontal Units,S
-3.18700 ,0.28000 ,,,Horizontal Scale,0.4
-3.18400 ,0.24000 ,,,Sample Interval,0.0032
-3.18100 ,0.16000 ,,,Filter Frequency,2.00E+08
-3.17800 ,0.12000 ,,,Record Length,2000
-3.17400 ,0.08000 ,,,Gating,0.0% to 100.0%
-3.17100 ,0.04000 ,,,Probe Attenuation,10
-3.16800 ,0.00000 ,,,Vertical Units,V
-3.16500 ,0.00000 ,,,Vertical Offset,0
-3.16200 ,-0.08000 ,,,Vertical Scale,1
-3.15800 ,-0.08000 ,,,Label,
-3.15500 ,-0.12000 ,,,,
-3.15200 ,-0.16000 ,,,,
-3.14900 ,-0.16000 ,,,,
-3.14600 ,-0.20000 ,,,,
-3.14200 ,-0.24000 ,,,,
-3.13900 ,-0.28000 ,,,,
-3.13600 ,-0.28000 ,,,,
-3.13300 ,-0.28000 ,,,,
-3.13000 ,-0.32000 ,,,,
-3.12600 ,-0.32000 ,,,,
-3.12300 ,-0.32000 ,,,,
-3.12000 ,-0.36000 ,,,,
-3.11700 ,-0.44000 ,,,,
-3.11400 ,-0.40000 ,,,,
-3.11000 ,-0.44000 ,,,,
-3.10700 ,-0.44000 ,,,,
-3.10400 ,-0.48000 ,,,,
-3.10100 ,-0.48000 ,,,,
-3.09800 ,-0.52000 ,,,,
-3.09400 ,-0.56000 ,,,,
-3.09100 ,-0.52000 ,,,,
-3.08800 ,-0.56000 ,,,,
-3.08500 ,-0.56000 ,,,,
-3.08200 ,-0.60000 ,,,,
-3.07800 ,-0.60000 ,,,,
-3.07500 ,-0.64000 ,,,,
-3.07200 ,-0.68000 ,,,,
-3.06900 ,-0.68000 ,,,,
-3.06600 ,-0.72000 ,,,,
-3.06200 ,-0.68000 ,,,,
-3.05900 ,-0.72000 ,,,,
-3.05600 ,-0.72000 ,,,,
-3.05300 ,-0.72000 ,,,,
-3.05000 ,-0.76000 ,,,,
-3.04600 ,-0.76000 ,,,,
-3.04300 ,-0.76000 ,,,,
-3.04000 ,-0.80000 ,,,,
-3.03700 ,-0.80000 ,,,,
-3.03400 ,-0.84000 ,,,,
-3.03000 ,-0.80000 ,,,,
-3.02700 ,-0.84000 ,,,,
-3.02400 ,-0.84000 ,,,,
-3.02100 ,-0.88000 ,,,,
-3.01800 ,-0.88000 ,,,,
-3.01400 ,-0.84000 ,,,,
-3.01100 ,-0.84000 ,,,,
-3.00800 ,-0.84000 ,,,,
-3.00500 ,-0.88000 ,,,,
-3.00200 ,-0.88000 ,,,,
-2.99800 ,-0.88000 ,,,,
-2.99500 ,-0.88000 ,,,,
-2.99200 ,-0.88000 ,,,,
-2.98900 ,-0.88000 ,,,,
-2.98600 ,-0.88000 ,,,,
-2.98200 ,-0.92000 ,,,,
-2.97900 ,-0.96000 ,,,,
-2.97600 ,-0.92000 ,,,,
-2.97300 ,-0.96000 ,,,,
-2.97000 ,-0.96000 ,,,,
-2.96600 ,-0.96000 ,,,,
-2.96300 ,-1.00000 ,,,,
-2.96000 ,-1.00000 ,,,,
-2.95700 ,-1.00000 ,,,,
-2.95400 ,-1.00000 ,,,,
-2.95000 ,-1.04000 ,,,,
-2.94700 ,-1.04000 ,,,,
-2.94400 ,-1.08000 ,,,,
-2.94100 ,-1.08000 ,,,,
-2.93800 ,-1.08000 ,,,,
-2.93400 ,-1.12000 ,,,,
-2.93100 ,-1.08000 ,,,,
-2.92800 ,-1.12000 ,,,,
-2.92500 ,-1.12000 ,,,,
-2.92200 ,-1.12000 ,,,,
-2.91800 ,-1.16000 ,,,,
-2.91500 ,-1.16000 ,,,,
-2.91200 ,-1.12000 ,,,,
-2.90900 ,-1.16000 ,,,,
-2.90600 ,-1.16000 ,,,,
-2.90200 ,-1.20000 ,,,,
-2.89900 ,-1.16000 ,,,,
-2.89600 ,-1.16000 ,,,,
-2.89300 ,-1.16000 ,,,,
-2.89000 ,-1.20000 ,,,,
-2.88600 ,-1.20000 ,,,,
-2.88300 ,-1.20000 ,,,,
-2.88000 ,-1.20000 ,,,,
-2.87700 ,-1.20000 ,,,,
-2.87400 ,-1.20000 ,,,,
-2.87000 ,-1.24000 ,,,,
-2.86700 ,-1.24000 ,,,,
-2.86400 ,-1.24000 ,,,,
-2.86100 ,-1.28000 ,,,,
-2.85800 ,-1.24000 ,,,,
-2.85400 ,-1.28000 ,,,,
-2.85100 ,-1.28000 ,,,,
-2.84800 ,-1.32000 ,,,,
-2.84500 ,-1.32000 ,,,,
-2.84200 ,-1.36000 ,,,,
-2.83800 ,-1.36000 ,,,,
-2.83500 ,-1.40000 ,,,,
-2.83200 ,-1.36000 ,,,,
-2.82900 ,-1.40000 ,,,,
-2.82600 ,-1.36000 ,,,,
