TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,-0.1,119,75,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,-0.14,,,,
-3.194,-0.14,,,Point Format,Y
-3.19,-0.14,,,Horizontal Units,S
-3.187,-0.22,,,Horizontal Scale,0.4
-3.184,-0.26,,,Sample Interval,0.0032
-3.181,-0.26,,,Filter Frequency,2.00E+08
-3.178,-0.3,,,Record Length,2000
-3.174,-0.3,,,Gating,0.0% to 100.0%
-3.171,-0.38,,,Probe Attenuation,10
-3.168,-0.38,,,Vertical Units,V
-3.165,-0.42,,,Vertical Offset,0
-3.162,-0.42,,,Vertical Scale,1
-3.158,-0.42,,,Label,
-3.155,-0.5,,,,
-3.152,-0.46,,,,
-3.149,-0.5,,,,
-3.146,-0.5,,,,
-3.142,-0.54,,,,
-3.139,-0.54,,,,
-3.136,-0.54,,,,
-3.133,-0.62,,,,
-3.13,-0.58,,,,
-3.126,-0.58,,,,
-3.123,-0.62,,,,
-3.12,-0.62,,,,
-3.117,-0.62,,,,
-3.114,-0.66,,,,
-3.11,-0.62,,,,
-3.107,-0.66,,,,
-3.104,-0.66,,,,
-3.101,-0.62,,,,
-3.098,-0.62,,,,
-3.094,-0.66,,,,
-3.091,-0.62,,,,
-3.088,-0.62,,,,
-3.085,-0.66,,,,
-3.082,-0.62,,,,
-3.078,-0.62,,,,
-3.075,-0.62,,,,
-3.072,-0.62,,,,
-3.069,-0.66,,,,
-3.066,-0.62,,,,
-3.062,-0.62,,,,
-3.059,-0.62,,,,
-3.056,-0.62,,,,
-3.053,-0.62,,,,
-3.05,-0.58,,,,
-3.046,-0.62,,,,
-3.043,-0.62,,,,
-3.04,-0.62,,,,
-3.037,-0.62,,,,
-3.034,-0.62,,,,
-3.03,-0.62,,,,
-3.027,-0.62,,,,
-3.024,-0.62,,,,
-3.021,-0.66,,,,
-3.018,-0.62,,,,
-3.014,-0.66,,,,
-3.011,-0.62,,,,
-3.008,-0.62,,,,
-3.005,-0.66,,,,
-3.002,-0.66,,,,
-2.998,-0.66,,,,
-2.995,-0.66,,,,
-2.992,-0.66,,,,
-2.989,-0.62,,,,
-2.986,-0.66,,,,
-2.982,-0.66,,,,
-2.979,-0.62,,,,
-2.976,-0.66,,,,
-2.973,-0.66,,,,
-2.97,-0.66,,,,
-2.966,-0.7,,,,
-2.963,-0.7,,,,
-2.96,-0.66,,,,
-2.957,-0.66,,,,
-2.954,-0.66,,,,
-2.95,-0.66,,,,
-2.947,-0.7,,,,
-2.944,-0.7,,,,
-2.941,-0.7,,,,
-2.938,-0.7,,,,
-2.934,-0.74,,,,
-2.931,-0.7,,,,
-2.928,-0.7,,,,
-2.925,-0.74,,,,
-2.922,-0.7,,,,
-2.918,-0.7,,,,
-2.915,-0.7,,,,
-2.912,-0.74,,,,
-2.909,-0.74,,,,
-2.906,-0.74,,,,
-2.902,-0.74,,,,
-2.899,-0.74,,,,
-2.896,-0.78,,,,
-2.893,-0.74,,,,
