TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,-2.10000 ,113,74,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,-2.10000 ,,,,
-3.19400 ,-2.10000 ,,,Point Format,Y
-3.19000 ,-2.14000 ,,,Horizontal Units,S
-3.18700 ,-2.14000 ,,,Horizontal Scale,0.4
-3.18400 ,-2.14000 ,,,Sample Interval,0.0032
-3.18100 ,-2.18000 ,,,Filter Frequency,2.00E+08
-3.17800 ,-2.18000 ,,,Record Length,2000
-3.17400 ,-2.18000 ,,,Gating,0.0% to 100.0%
-3.17100 ,-2.18000 ,,,Probe Attenuation,10
-3.16800 ,-2.18000 ,,,Vertical Units,V
-3.16500 ,-2.22000 ,,,Vertical Offset,0
-3.16200 ,-2.26000 ,,,Vertical Scale,1
-3.15800 ,-2.22000 ,,,Label,
-3.15500 ,-2.26000 ,,,,
-3.15200 ,-2.26000 ,,,,
-3.14900 ,-2.26000 ,,,,
-3.14600 ,-2.30000 ,,,,
-3.14200 ,-2.30000 ,,,,
-3.13900 ,-2.30000 ,,,,
-3.13600 ,-2.30000 ,,,,
-3.13300 ,-2.34000 ,,,,
-3.13000 ,-2.34000 ,,,,
-3.12600 ,-2.38000 ,,,,
-3.12300 ,-2.38000 ,,,,
-3.12000 ,-2.38000 ,,,,
-3.11700 ,-2.42000 ,,,,
-3.11400 ,-2.54000 ,,,,
-3.11000 ,-2.62000 ,,,,
-3.10700 ,-2.62000 ,,,,
-3.10400 ,-2.54000 ,,,,
-3.10100 ,-2.50000 ,,,,
-3.09800 ,-2.54000 ,,,,
-3.09400 ,-2.62000 ,,,,
-3.09100 ,-2.74000 ,,,,
-3.08800 ,-2.78000 ,,,,
-3.08500 ,-2.70000 ,,,,
-3.08200 ,-2.66000 ,,,,
-3.07800 ,-2.66000 ,,,,
-3.07500 ,-2.74000 ,,,,
-3.07200 ,-2.82000 ,,,,
-3.06900 ,-2.90000 ,,,,
-3.06600 ,-2.86000 ,,,,
-3.06200 ,-2.74000 ,,,,
-3.05900 ,-2.66000 ,,,,
-3.05600 ,-2.70000 ,,,,
-3.05300 ,-2.70000 ,,,,
-3.05000 ,-2.58000 ,,,,
-3.04600 ,-2.30000 ,,,,
-3.04300 ,-2.10000 ,,,,
-3.04000 ,-1.90000 ,,,,
-3.03700 ,-1.74000 ,,,,
-3.03400 ,-1.50000 ,,,,
-3.03000 ,-1.18000 ,,,,
-3.02700 ,-0.86000 ,,,,
-3.02400 ,-0.50000 ,,,,
-3.02100 ,-0.26000 ,,,,
-3.01800 ,0.02000 ,,,,
-3.01400 ,0.34000 ,,,,
-3.01100 ,0.74000 ,,,,
-3.00800 ,1.02000 ,,,,
-3.00500 ,1.26000 ,,,,
-3.00200 ,1.46000 ,,,,
-2.99800 ,1.70000 ,,,,
-2.99500 ,1.98000 ,,,,
-2.99200 ,2.18000 ,,,,
-2.98900 ,2.34000 ,,,,
-2.98600 ,2.46000 ,,,,
-2.98200 ,2.58000 ,,,,
-2.97900 ,2.70000 ,,,,
-2.97600 ,2.74000 ,,,,
-2.97300 ,2.82000 ,,,,
-2.97000 ,2.86000 ,,,,
-2.96600 ,2.86000 ,,,,
-2.96300 ,2.86000 ,,,,
-2.96000 ,2.90000 ,,,,
-2.95700 ,2.86000 ,,,,
-2.95400 ,2.82000 ,,,,
-2.95000 ,2.78000 ,,,,
-2.94700 ,2.74000 ,,,,
-2.94400 ,2.70000 ,,,,
-2.94100 ,2.66000 ,,,,
-2.93800 ,2.58000 ,,,,
-2.93400 ,2.50000 ,,,,
-2.93100 ,2.46000 ,,,,
-2.92800 ,2.38000 ,,,,
-2.92500 ,2.30000 ,,,,
-2.92200 ,2.22000 ,,,,
-2.91800 ,2.14000 ,,,,
-2.91500 ,2.10000 ,,,,
-2.91200 ,2.02000 ,,,,
-2.90900 ,1.98000 ,,,,
-2.90600 ,1.90000 ,,,,
-2.90200 ,1.86000 ,,,,
-2.89900 ,1.82000 ,,,,
-2.89600 ,1.78000 ,,,,
-2.89300 ,1.74000 ,,,,
-2.89000 ,1.70000 ,,,,
-2.88600 ,1.66000 ,,,,
-2.88300 ,1.62000 ,,,,
-2.88000 ,1.62000 ,,,,
-2.87700 ,1.58000 ,,,,
-2.87400 ,1.58000 ,,,,
-2.87000 ,1.54000 ,,,,
-2.86700 ,1.50000 ,,,,
-2.86400 ,1.54000 ,,,,
-2.86100 ,1.50000 ,,,,
-2.85800 ,1.46000 ,,,,
-2.85400 ,1.50000 ,,,,
-2.85100 ,1.46000 ,,,,
-2.84800 ,1.46000 ,,,,
-2.84500 ,1.46000 ,,,,
-2.84200 ,1.50000 ,,,,
-2.83800 ,1.46000 ,,,,
-2.83500 ,1.46000 ,,,,
-2.83200 ,1.46000 ,,,,
-2.82900 ,1.46000 ,,,,
-2.82600 ,1.42000 ,,,,
-2.82200 ,1.42000 ,,,,
-2.81900 ,1.42000 ,,,,
-2.81600 ,1.38000 ,,,,
-2.81300 ,1.38000 ,,,,
-2.81000 ,1.38000 ,,,,
-2.80600 ,1.34000 ,,,,
-2.80300 ,1.30000 ,,,,
-2.80000 ,1.26000 ,,,,
-2.79700 ,1.22000 ,,,,
-2.79400 ,1.22000 ,,,,
-2.79000 ,1.14000 ,,,,
-2.78700 ,1.06000 ,,,,
-2.78400 ,0.98000 ,,,,
-2.78100 ,0.98000 ,,,,
-2.77800 ,0.90000 ,,,,
-2.77400 ,0.82000 ,,,,
-2.77100 ,0.74000 ,,,,
-2.76800 ,0.70000 ,,,,
-2.76500 ,0.70000 ,,,,
-2.76200 ,0.62000 ,,,,
-2.75800 ,0.58000 ,,,,
-2.75500 ,0.50000 ,,,,
-2.75200 ,0.46000 ,,,,
-2.74900 ,0.42000 ,,,,
-2.74600 ,0.38000 ,,,,
-2.74200 ,0.38000 ,,,,
-2.73900 ,0.34000 ,,,,
-2.73600 ,0.30000 ,,,,
-2.73300 ,0.30000 ,,,,
-2.73000 ,0.30000 ,,,,
-2.72600 ,0.30000 ,,,,
-2.72300 ,0.30000 ,,,,
-2.72000 ,0.30000 ,,,,
-2.71700 ,0.30000 ,,,,
-2.71400 ,0.26000 ,,,,
-2.71000 ,0.34000 ,,,,
