TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,2.26000 ,124,86,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,2.14000 ,,,,
-3.19400 ,2.06000 ,,,Point Format,Y
-3.19000 ,1.98000 ,,,Horizontal Units,S
-3.18700 ,1.86000 ,,,Horizontal Scale,0.4
-3.18400 ,1.74000 ,,,Sample Interval,0.0032
-3.18100 ,1.62000 ,,,Filter Frequency,2.00E+08
-3.17800 ,1.46000 ,,,Record Length,2000
-3.17400 ,1.38000 ,,,Gating,0.0% to 100.0%
-3.17100 ,1.26000 ,,,Probe Attenuation,10
-3.16800 ,1.14000 ,,,Vertical Units,V
-3.16500 ,1.06000 ,,,Vertical Offset,0
-3.16200 ,0.94000 ,,,Vertical Scale,1
-3.15800 ,0.86000 ,,,Label,
-3.15500 ,0.78000 ,,,,
-3.15200 ,0.70000 ,,,,
-3.14900 ,0.62000 ,,,,
-3.14600 ,0.58000 ,,,,
-3.14200 ,0.54000 ,,,,
-3.13900 ,0.54000 ,,,,
-3.13600 ,0.46000 ,,,,
-3.13300 ,0.46000 ,,,,
-3.13000 ,0.46000 ,,,,
-3.12600 ,0.42000 ,,,,
-3.12300 ,0.46000 ,,,,
-3.12000 ,0.46000 ,,,,
-3.11700 ,0.46000 ,,,,
-3.11400 ,0.50000 ,,,,
-3.11000 ,0.50000 ,,,,
-3.10700 ,0.54000 ,,,,
-3.10400 ,0.50000 ,,,,
-3.10100 ,0.54000 ,,,,
-3.09800 ,0.50000 ,,,,
-3.09400 ,0.50000 ,,,,
-3.09100 ,0.50000 ,,,,
-3.08800 ,0.50000 ,,,,
-3.08500 ,0.50000 ,,,,
-3.08200 ,0.50000 ,,,,
-3.07800 ,0.50000 ,,,,
-3.07500 ,0.50000 ,,,,
-3.07200 ,0.46000 ,,,,
-3.06900 ,0.42000 ,,,,
-3.06600 ,0.38000 ,,,,
-3.06200 ,0.30000 ,,,,
-3.05900 ,0.30000 ,,,,
-3.05600 ,0.26000 ,,,,
-3.05300 ,0.26000 ,,,,
-3.05000 ,0.18000 ,,,,
-3.04600 ,0.14000 ,,,,
-3.04300 ,0.06000 ,,,,
-3.04000 ,0.02000 ,,,,
-3.03700 ,-0.02000 ,,,,
-3.03400 ,-0.06000 ,,,,
-3.03000 ,-0.18000 ,,,,
-3.02700 ,-0.22000 ,,,,
-3.02400 ,-0.30000 ,,,,
-3.02100 ,-0.38000 ,,,,
-3.01800 ,-0.42000 ,,,,
-3.01400 ,-0.50000 ,,,,
-3.01100 ,-0.54000 ,,,,
-3.00800 ,-0.58000 ,,,,
-3.00500 ,-0.62000 ,,,,
-3.00200 ,-0.70000 ,,,,
-2.99800 ,-0.74000 ,,,,
-2.99500 ,-0.78000 ,,,,
-2.99200 ,-0.86000 ,,,,
-2.98900 ,-0.90000 ,,,,
-2.98600 ,-0.94000 ,,,,
-2.98200 ,-1.02000 ,,,,
-2.97900 ,-1.02000 ,,,,
-2.97600 ,-1.06000 ,,,,
-2.97300 ,-1.14000 ,,,,
-2.97000 ,-1.14000 ,,,,
-2.96600 ,-1.18000 ,,,,
-2.96300 ,-1.18000 ,,,,
-2.96000 ,-1.26000 ,,,,
-2.95700 ,-1.30000 ,,,,
-2.95400 ,-1.34000 ,,,,
-2.95000 ,-1.30000 ,,,,
-2.94700 ,-1.38000 ,,,,
-2.94400 ,-1.38000 ,,,,
-2.94100 ,-1.46000 ,,,,
-2.93800 ,-1.46000 ,,,,
-2.93400 ,-1.50000 ,,,,
-2.93100 ,-1.50000 ,,,,
-2.92800 ,-1.54000 ,,,,
-2.92500 ,-1.58000 ,,,,
-2.92200 ,-1.58000 ,,,,
-2.91800 ,-1.58000 ,,,,
-2.91500 ,-1.62000 ,,,,
-2.91200 ,-1.66000 ,,,,
-2.90900 ,-1.62000 ,,,,
-2.90600 ,-1.70000 ,,,,
-2.90200 ,-1.70000 ,,,,
-2.89900 ,-1.78000 ,,,,
-2.89600 ,-1.78000 ,,,,
-2.89300 ,-1.82000 ,,,,
-2.89000 ,-1.82000 ,,,,
-2.88600 ,-1.86000 ,,,,
-2.88300 ,-1.90000 ,,,,
-2.88000 ,-1.94000 ,,,,
-2.87700 ,-1.98000 ,,,,
-2.87400 ,-2.02000 ,,,,
-2.87000 ,-2.02000 ,,,,
-2.86700 ,-2.10000 ,,,,
-2.86400 ,-2.10000 ,,,,
-2.86100 ,-2.14000 ,,,,
-2.85800 ,-2.22000 ,,,,
-2.85400 ,-2.26000 ,,,,
-2.85100 ,-2.30000 ,,,,
-2.84800 ,-2.30000 ,,,,
-2.84500 ,-2.38000 ,,,,
-2.84200 ,-2.46000 ,,,,
-2.83800 ,-2.62000 ,,,,
-2.83500 ,-2.74000 ,,,,
-2.83200 ,-2.78000 ,,,,
-2.82900 ,-2.78000 ,,,,
-2.82600 ,-2.82000 ,,,,
-2.82200 ,-2.86000 ,,,,
-2.81900 ,-2.98000 ,,,,
-2.81600 ,-3.14000 ,,,,
-2.81300 ,-3.26000 ,,,,
-2.81000 ,-3.42000 ,,,,
-2.80600 ,-3.62000 ,,,,
-2.80300 ,-3.66000 ,,,,
-2.80000 ,-3.70000 ,,,,
-2.79700 ,-3.70000 ,,,,
-2.79400 ,-3.70000 ,,,,
-2.79000 ,-3.70000 ,,,,
-2.78700 ,-3.66000 ,,,,
-2.78400 ,-3.70000 ,,,,
-2.78100 ,-3.70000 ,,,,
-2.77800 ,-3.70000 ,,,,
-2.77400 ,-3.70000 ,,,,
-2.77100 ,-3.70000 ,,,,
-2.76800 ,-3.66000 ,,,,
-2.76500 ,-3.70000 ,,,,
-2.76200 ,-3.66000 ,,,,
-2.75800 ,-3.66000 ,,,,
-2.75500 ,-3.54000 ,,,,
-2.75200 ,-3.46000 ,,,,
-2.74900 ,-3.34000 ,,,,
-2.74600 ,-3.06000 ,,,,
-2.74200 ,-2.70000 ,,,,
-2.73900 ,-2.42000 ,,,,
-2.73600 ,-2.18000 ,,,,
-2.73300 ,-2.02000 ,,,,
-2.73000 ,-1.78000 ,,,,
-2.72600 ,-1.42000 ,,,,
-2.72300 ,-1.06000 ,,,,
-2.72000 ,-0.74000 ,,,,
-2.71700 ,-0.46000 ,,,,
-2.71400 ,-0.14000 ,,,,
-2.71000 ,0.22000 ,,,,
-2.70700 ,0.66000 ,,,,
-2.70400 ,0.94000 ,,,,
-2.70100 ,1.22000 ,,,,
-2.69800 ,1.54000 ,,,,
-2.69400 ,1.82000 ,,,,
-2.69100 ,2.06000 ,,,,
-2.68800 ,2.34000 ,,,,
-2.68500 ,2.46000 ,,,,
-2.68200 ,2.54000 ,,,,
-2.67800 ,2.66000 ,,,,
-2.67500 ,2.74000 ,,,,
-2.67200 ,2.86000 ,,,,
-2.66900 ,2.90000 ,,,,
-2.66600 ,2.86000 ,,,,
-2.66200 ,2.86000 ,,,,
-2.65900 ,2.90000 ,,,,
-2.65600 ,2.90000 ,,,,
-2.65300 ,2.82000 ,,,,
-2.65000 ,2.74000 ,,,,
-2.64600 ,2.70000 ,,,,
-2.64300 ,2.62000 ,,,,
-2.64000 ,2.58000 ,,,,
-2.63700 ,2.50000 ,,,,
-2.63400 ,2.46000 ,,,,
-2.63000 ,2.34000 ,,,,
-2.62700 ,2.30000 ,,,,
-2.62400 ,2.26000 ,,,,
-2.62100 ,2.22000 ,,,,
-2.61800 ,2.10000 ,,,,
-2.61400 ,2.10000 ,,,,
-2.61100 ,2.02000 ,,,,
-2.60800 ,1.98000 ,,,,
-2.60500 ,1.94000 ,,,,
-2.60200 ,1.90000 ,,,,
-2.59800 ,1.82000 ,,,,
-2.59500 ,1.74000 ,,,,
-2.59200 ,1.74000 ,,,,
-2.58900 ,1.78000 ,,,,
-2.58600 ,1.70000 ,,,,
-2.58200 ,1.66000 ,,,,
-2.57900 ,1.62000 ,,,,
-2.57600 ,1.66000 ,,,,
-2.57300 ,1.66000 ,,,,
-2.57000 ,1.62000 ,,,,
-2.56600 ,1.58000 ,,,,
-2.56300 ,1.58000 ,,,,
-2.56000 ,1.62000 ,,,,
-2.55700 ,1.58000 ,,,,
-2.55400 ,1.54000 ,,,,
-2.55000 ,1.54000 ,,,,
-2.54700 ,1.50000 ,,,,
-2.54400 ,1.46000 ,,,,
-2.54100 ,1.42000 ,,,,
-2.53800 ,1.38000 ,,,,
-2.53400 ,1.34000 ,,,,
-2.53100 ,1.22000 ,,,,
-2.52800 ,1.18000 ,,,,
-2.52500 ,1.06000 ,,,,
-2.52200 ,0.98000 ,,,,
-2.51800 ,0.90000 ,,,,
-2.51500 ,0.78000 ,,,,
-2.51200 ,0.70000 ,,,,
-2.50900 ,0.58000 ,,,,
-2.50600 ,0.54000 ,,,,
-2.50200 ,0.38000 ,,,,
-2.49900 ,0.30000 ,,,,
-2.49600 ,0.18000 ,,,,
-2.49300 ,0.10000 ,,,,
-2.49000 ,0.06000 ,,,,
-2.48600 ,-0.06000 ,,,,
-2.48300 ,-0.10000 ,,,,
-2.48000 ,-0.18000 ,,,,
-2.47700 ,-0.22000 ,,,,
-2.47400 ,-0.22000 ,,,,
-2.47000 ,-0.26000 ,,,,
-2.46700 ,-0.30000 ,,,,
-2.46400 ,-0.30000 ,,,,
-2.46100 ,-0.30000 ,,,,
-2.45800 ,-0.30000 ,,,,
-2.45400 ,-0.30000 ,,,,
-2.45100 ,-0.26000 ,,,,
-2.44800 ,-0.22000 ,,,,
-2.44500 ,-0.18000 ,,,,
-2.44200 ,-0.14000 ,,,,
-2.43800 ,-0.14000 ,,,,
-2.43500 ,-0.10000 ,,,,
-2.43200 ,-0.02000 ,,,,
-2.42900 ,-0.02000 ,,,,
