TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2000 ,0.9400 ,110,51,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.1970 ,0.8600 ,,,,
-3.1940 ,0.7800 ,,,Point Format,Y
-3.1900 ,0.7000 ,,,Horizontal Units,S
-3.1870 ,0.6600 ,,,Horizontal Scale,0.4
-3.1840 ,0.5800 ,,,Sample Interval,0.0032
-3.1810 ,0.5400 ,,,Filter Frequency,2.00E+08
-3.1780 ,0.5000 ,,,Record Length,2000
-3.1740 ,0.4200 ,,,Gating,0.0% to 100.0%
-3.1710 ,0.3800 ,,,Probe Attenuation,10
-3.1680 ,0.3400 ,,,Vertical Units,V
-3.1650 ,0.2600 ,,,Vertical Offset,0
-3.1620 ,0.2200 ,,,Vertical Scale,1
-3.1580 ,0.2200 ,,,Label,
-3.1550 ,0.1400 ,,,,
-3.1520 ,0.1000 ,,,,
-3.1490 ,0.0600 ,,,,
-3.1460 ,0.0200 ,,,,
-3.1420 ,-0.0200 ,,,,
-3.1390 ,-0.0600 ,,,,
-3.1360 ,-0.1000 ,,,,
-3.1330 ,-0.1000 ,,,,
-3.1300 ,-0.1400 ,,,,
-3.1260 ,-0.1800 ,,,,
-3.1230 ,-0.2600 ,,,,
-3.1200 ,-0.2600 ,,,,
-3.1170 ,-0.2600 ,,,,
-3.1140 ,-0.3000 ,,,,
-3.1100 ,-0.3400 ,,,,
-3.1070 ,-0.3400 ,,,,
-3.1040 ,-0.3400 ,,,,
-3.1010 ,-0.4200 ,,,,
-3.0980 ,-0.4200 ,,,,
-3.0940 ,-0.4200 ,,,,
-3.0910 ,-0.4600 ,,,,
-3.0880 ,-0.4200 ,,,,
-3.0850 ,-0.4600 ,,,,
-3.0820 ,-0.4600 ,,,,
-3.0780 ,-0.4200 ,,,,
-3.0750 ,-0.4600 ,,,,
-3.0720 ,-0.4200 ,,,,
-3.0690 ,-0.4200 ,,,,
-3.0660 ,-0.4200 ,,,,
-3.0620 ,-0.3800 ,,,,
-3.0590 ,-0.3800 ,,,,
