TIME,CH1,SBP,DBP,Model,TBS1102C
-3.20000 ,-0.32000 ,124,75,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.19700 ,-0.34000 ,,,,
-3.19400 ,-0.34000 ,,,Point Format,Y
-3.19000 ,-0.32000 ,,,Horizontal Units,S
-3.18700 ,-0.34000 ,,,Horizontal Scale,0.4
-3.18400 ,-0.32000 ,,,Sample Interval,0.0032
-3.18100 ,-0.32000 ,,,Filter Frequency,2.00E+08
-3.17800 ,-0.30000 ,,,Record Length,2000
-3.17400 ,-0.32000 ,,,Gating,0.0% to 100.0%
-3.17100 ,-0.30000 ,,,Probe Attenuation,10
-3.16800 ,-0.28000 ,,,Vertical Units,V
-3.16500 ,-0.28000 ,,,Vertical Offset,0
-3.16200 ,-0.26000 ,,,Vertical Scale,0.5
-3.15800 ,-0.26000 ,,,Label,
-3.15500 ,-0.26000 ,,,,
-3.15200 ,-0.26000 ,,,,
-3.14900 ,-0.24000 ,,,,
-3.14600 ,-0.24000 ,,,,
-3.14200 ,-0.22000 ,,,,
-3.13900 ,-0.22000 ,,,,
-3.13600 ,-0.24000 ,,,,
-3.13300 ,-0.22000 ,,,,
-3.13000 ,-0.22000 ,,,,
-3.12600 ,-0.24000 ,,,,
-3.12300 ,-0.22000 ,,,,
-3.12000 ,-0.22000 ,,,,
-3.11700 ,-0.22000 ,,,,
-3.11400 ,-0.24000 ,,,,
-3.11000 ,-0.24000 ,,,,
-3.10700 ,-0.26000 ,,,,
-3.10400 ,-0.26000 ,,,,
-3.10100 ,-0.28000 ,,,,
-3.09800 ,-0.28000 ,,,,
-3.09400 ,-0.30000 ,,,,
-3.09100 ,-0.32000 ,,,,
-3.08800 ,-0.32000 ,,,,
-3.08500 ,-0.34000 ,,,,
-3.08200 ,-0.34000 ,,,,
-3.07800 ,-0.36000 ,,,,
-3.07500 ,-0.38000 ,,,,
-3.07200 ,-0.40000 ,,,,
-3.06900 ,-0.42000 ,,,,
-3.06600 ,-0.42000 ,,,,
-3.06200 ,-0.44000 ,,,,
-3.05900 ,-0.46000 ,,,,
-3.05600 ,-0.46000 ,,,,
-3.05300 ,-0.48000 ,,,,
-3.05000 ,-0.50000 ,,,,
-3.04600 ,-0.50000 ,,,,
-3.04300 ,-0.52000 ,,,,
-3.04000 ,-0.54000 ,,,,
-3.03700 ,-0.56000 ,,,,
-3.03400 ,-0.54000 ,,,,
-3.03000 ,-0.56000 ,,,,
-3.02700 ,-0.58000 ,,,,
-3.02400 ,-0.60000 ,,,,
-3.02100 ,-0.60000 ,,,,
-3.01800 ,-0.62000 ,,,,
-3.01400 ,-0.62000 ,,,,
-3.01100 ,-0.64000 ,,,,
-3.00800 ,-0.64000 ,,,,
-3.00500 ,-0.66000 ,,,,
-3.00200 ,-0.66000 ,,,,
-2.99800 ,-0.68000 ,,,,
-2.99500 ,-0.70000 ,,,,
-2.99200 ,-0.70000 ,,,,
-2.98900 ,-0.70000 ,,,,
-2.98600 ,-0.72000 ,,,,
-2.98200 ,-0.74000 ,,,,
-2.97900 ,-0.74000 ,,,,
-2.97600 ,-0.74000 ,,,,
-2.97300 ,-0.76000 ,,,,
-2.97000 ,-0.76000 ,,,,
-2.96600 ,-0.78000 ,,,,
-2.96300 ,-0.76000 ,,,,
-2.96000 ,-0.78000 ,,,,
-2.95700 ,-0.80000 ,,,,
-2.95400 ,-0.80000 ,,,,
-2.95000 ,-0.80000 ,,,,
-2.94700 ,-0.80000 ,,,,
-2.94400 ,-0.80000 ,,,,
-2.94100 ,-0.82000 ,,,,
-2.93800 ,-0.84000 ,,,,
-2.93400 ,-0.82000 ,,,,
