TIME,CH1,SBP,DBP,Model,TBS1102C
-3.2,-0.16,111,61,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-3.197,-0.168,,,,
-3.194,-0.16,,,Point Format,Y
-3.19,-0.16,,,Horizontal Units,S
-3.187,-0.16,,,Horizontal Scale,0.4
-3.184,-0.152,,,Sample Interval,0.0032
-3.181,-0.152,,,Filter Frequency,2.00E+08
-3.178,-0.152,,,Record Length,2000
-3.174,-0.136,,,Gating,0.0% to 100.0%
-3.171,-0.136,,,Probe Attenuation,10
-3.168,-0.144,,,Vertical Units,V
-3.165,-0.152,,,Vertical Offset,0
-3.162,-0.136,,,Vertical Scale,0.2
-3.158,-0.152,,,Label,
-3.155,-0.144,,,,
-3.152,-0.144,,,,
-3.149,-0.152,,,,
-3.146,-0.16,,,,
-3.142,-0.152,,,,
-3.139,-0.176,,,,
-3.136,-0.16,,,,
-3.133,-0.16,,,,
-3.13,-0.176,,,,
-3.126,-0.184,,,,
-3.123,-0.168,,,,
-3.12,-0.184,,,,
-3.117,-0.2,,,,
-3.114,-0.192,,,,
-3.11,-0.192,,,,
-3.107,-0.2,,,,
-3.104,-0.216,,,,
-3.101,-0.216,,,,
-3.098,-0.208,,,,
-3.094,-0.232,,,,
-3.091,-0.224,,,,
-3.088,-0.224,,,,
-3.085,-0.216,,,,
-3.082,-0.224,,,,
-3.078,-0.224,,,,
-3.075,-0.224,,,,
-3.072,-0.216,,,,
-3.069,-0.232,,,,
-3.066,-0.224,,,,
-3.062,-0.224,,,,
-3.059,-0.232,,,,
-3.056,-0.232,,,,
-3.053,-0.232,,,,
-3.05,-0.232,,,,
-3.046,-0.216,,,,
-3.043,-0.216,,,,
-3.04,-0.24,,,,
-3.037,-0.248,,,,
-3.034,-0.24,,,,
-3.03,-0.256,,,,
-3.027,-0.256,,,,
-3.024,-0.256,,,,
-3.021,-0.256,,,,
-3.018,-0.248,,,,
-3.014,-0.256,,,,
-3.011,-0.264,,,,
-3.008,-0.28,,,,
-3.005,-0.28,,,,
-3.002,-0.288,,,,
-2.998,-0.312,,,,
-2.995,-0.32,,,,
-2.992,-0.32,,,,
-2.989,-0.328,,,,
-2.986,-0.328,,,,
-2.982,-0.336,,,,
-2.979,-0.352,,,,
-2.976,-0.344,,,,
-2.973,-0.36,,,,
-2.97,-0.36,,,,
-2.966,-0.376,,,,
-2.963,-0.376,,,,
-2.96,-0.392,,,,
-2.957,-0.392,,,,
-2.954,-0.408,,,,
-2.95,-0.4,,,,
-2.947,-0.424,,,,
-2.944,-0.424,,,,
-2.941,-0.424,,,,
-2.938,-0.424,,,,
-2.934,-0.432,,,,
-2.931,-0.432,,,,
-2.928,-0.432,,,,
-2.925,-0.424,,,,
-2.922,-0.424,,,,
-2.918,-0.416,,,,
-2.915,-0.408,,,,
-2.912,-0.384,,,,
-2.909,-0.376,,,,
-2.906,-0.352,,,,
-2.902,-0.328,,,,
-2.899,-0.288,,,,
-2.896,-0.256,,,,
-2.893,-0.2,,,,
-2.89,-0.144,,,,
-2.886,-0.088,,,,
-2.883,-0.04,,,,
-2.88,0.016,,,,
-2.877,0.08,,,,
-2.874,0.136,,,,
-2.87,0.192,,,,
-2.867,0.248,,,,
-2.864,0.312,,,,
-2.861,0.352,,,,
-2.858,0.408,,,,
-2.854,0.456,,,,
-2.851,0.48,,,,
-2.848,0.512,,,,
-2.845,0.552,,,,
-2.842,0.6,,,,
-2.838,0.624,,,,
-2.835,0.64,,,,
-2.832,0.656,,,,
-2.829,0.688,,,,
-2.826,0.712,,,,
-2.822,0.728,,,,
-2.819,0.736,,,,
-2.816,0.752,,,,
